,,,,,
Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1990,New England,"7,467,703","552,393",Commercial,"3,387"
1990,Middle Atlantic,"717,030,803","35,945,813",Commercial,"325,243"
1990,South Atlantic,"74,868,485","2,209,355",Commercial,"33,960"
1989,New England,"534,300","17,223",Commercial,242
1989,Middle Atlantic,"621,722,400","29,741,120",Commercial,"282,011"
1989,South Atlantic,"68,128,793","1,933,167",Commercial,"30,903"
1988,New England,"19,885,056","434,290",Commercial,"9,020"
1988,Middle Atlantic,"559,602,500","28,150,620",Commercial,"253,834"
1988,South Atlantic,"74,742,441","2,646,018",Commercial,"33,903"
1987,New England,"19,979,700","388,869",Commercial,"9,063"
1987,Middle Atlantic,"624,108,895","31,298,345",Commercial,"283,094"
1987,South Atlantic,"58,279,327","1,832,628",Commercial,"26,435"
1986,New England,"22,869,000","393,546",Commercial,"10,373"
1986,Middle Atlantic,"453,997,150","23,404,521",Commercial,"205,932"
1986,South Atlantic,"73,967,886","1,894,882",Commercial,"33,552"
1985,New England,"33,427,600","689,143",Commercial,"15,163"
1985,Middle Atlantic,"648,847,100","29,694,708",Commercial,"294,315"
1985,South Atlantic,"103,517,306","2,462,809",Commercial,"46,955"
1984,New England,"17,992,900","411,024",Commercial,"8,162"
1984,Middle Atlantic,"494,392,200","25,829,707",Commercial,"224,255"
1984,South Atlantic,"166,146,138","4,978,961",Commercial,"75,363"
1983,New England,"42,698,400","858,080",Commercial,"19,368"
1983,Middle Atlantic,"653,157,900","28,770,768",Commercial,"296,270"
1983,South Atlantic,"186,258,526","6,530,864",Commercial,"84,486"
1982,New England,"78,153,300","1,591,104",Commercial,"35,450"
1982,Middle Atlantic,"609,667,400","27,409,793",Commercial,"276,543"
1982,South Atlantic,"197,373,336","6,180,889",Commercial,"89,528"
1981,New England,"47,835,800","1,110,429",Commercial,"21,698"
1981,Middle Atlantic,"515,222,700","21,871,320",Commercial,"233,703"
1981,South Atlantic,"324,870,862","10,669,892",Commercial,"147,360"
1980,New England,"62,302,200","1,411,556",Commercial,"28,260"
1980,Middle Atlantic,"666,838,100","33,375,046",Commercial,"302,476"
1980,South Atlantic,"218,225,541","8,096,470",Commercial,"98,986"
1979,New England,"66,534,800","1,651,364",Commercial,"30,180"
1979,Middle Atlantic,"565,008,800","26,229,062",Commercial,"256,286"
1979,South Atlantic,"259,366,105","8,291,852",Commercial,"117,648"
1978,New England,"20,325,600","462,568",Commercial,"9,220"
1978,Middle Atlantic,"510,626,800","10,513,647",Commercial,"231,619"
1978,South Atlantic,"205,359,104","8,055,968",Commercial,"93,150"
1977,New England,"30,877,500","683,917",Commercial,"14,006"
1977,Middle Atlantic,"608,039,500","23,636,333",Commercial,"275,805"
1977,South Atlantic,"158,656,400","4,396,752",Commercial,"71,966"
1976,New England,"59,012,900","966,814",Commercial,"26,768"
1976,South Atlantic,"145,033,700","4,732,334",Commercial,"65,787"
1976,Middle Atlantic,"597,626,700","17,528,750",Commercial,"271,082"
1975,New England,"50,866,600","689,770",Commercial,"23,073"
1975,Middle Atlantic,"388,919,900","9,642,478",Commercial,"176,413"
1975,South Atlantic,"166,895,300","3,570,686",Commercial,"75,703"
1974,New England,"78,441,700","1,197,948",Commercial,"35,581"
1974,Middle Atlantic,"492,671,100","14,123,398",Commercial,"223,474"
1974,South Atlantic,"133,836,200","3,287,481",Commercial,"60,708"
1973,New England,"66,646,300","1,336,946",Commercial,"30,231"
1973,Middle Atlantic,"661,869,800","24,604,133",Commercial,"300,222"
1973,South Atlantic,"85,223,300","3,131,777",Commercial,"38,657"
1972,New England,"30,691,700","416,438",Commercial,"13,922"
1972,Middle Atlantic,"696,781,300","11,638,388",Commercial,"316,058"
1972,South Atlantic,"105,951,200","1,502,026",Commercial,"48,059"
1971,South Atlantic,"99,289,300","1,416,424",Commercial,"45,037"
1971,New England,"25,893,100","343,593",Commercial,"11,745"
1971,Middle Atlantic,"461,665,000","7,632,067",Commercial,"209,410"
1970,New England,"10,506,600","136,608",Commercial,"4,766"
1970,Middle Atlantic,"481,266,400","8,263,324",Commercial,"218,301"
1970,South Atlantic,"136,253,100","1,941,036",Commercial,"61,804"
1969,New England,"45,700","1,240",Commercial,21
1969,Middle Atlantic,"225,407,400","3,665,954",Commercial,"102,244"
1969,South Atlantic,"164,874,100","2,490,126",Commercial,"74,786"
1968,New England,"22,500",356,Commercial,10
1968,Middle Atlantic,"360,339,800","4,867,874",Commercial,"163,449"
1968,South Atlantic,"191,381,700","2,199,386",Commercial,"86,810"
1967,New England,"35,900",865,Commercial,16
1967,Middle Atlantic,"269,805,100","3,723,493",Commercial,"122,383"
1967,South Atlantic,"193,777,400","2,120,974",Commercial,"87,897"
1966,New England,"13,800",426,Commercial,6
1966,Middle Atlantic,"299,910,600","4,849,067",Commercial,"136,039"
1966,South Atlantic,"215,113,600","2,992,084",Commercial,"97,575"
1965,New England,"20,100",262,Commercial,9
1965,Middle Atlantic,"510,956,200","7,669,400",Commercial,"231,768"
1965,South Atlantic,"192,275,000","2,501,901",Commercial,"87,215"
1964,New England,"6,000",108,Commercial,3
1964,Middle Atlantic,"475,672,200","6,753,754",Commercial,"215,763"
1964,South Atlantic,"190,146,200","2,436,303",Commercial,"86,250"
1963,New England,"352,500","3,641",Commercial,160
1963,Middle Atlantic,"631,866,000","7,618,286",Commercial,"286,613"
1963,South Atlantic,"215,886,200","2,589,000",Commercial,"97,925"
1962,New England,"23,752,400","222,580",Commercial,"10,774"
1962,Middle Atlantic,"1,110,397,100","11,907,831",Commercial,"503,673"
1962,South Atlantic,"157,168,700","1,685,446",Commercial,"71,291"
1961,New England,"26,010,700","222,437",Commercial,"11,798"
1961,Middle Atlantic,"1,013,727,800","11,077,442",Commercial,"459,824"
1961,South Atlantic,"254,505,500","2,687,922",Commercial,"115,443"
1960,New England,"42,629,200","395,480",Commercial,"19,336"
1960,Middle Atlantic,"919,703,900","8,826,007",Commercial,"417,175"
1960,South Atlantic,"215,023,300","2,184,221",Commercial,"97,534"
1959,New England,"52,851,300","699,861",Commercial,"23,973"
1959,Middle Atlantic,"1,067,529,300","11,973,745",Commercial,"484,228"
1959,South Atlantic,"330,515,900","3,637,527",Commercial,"149,921"
1958,New England,"13,853,800","173,050",Commercial,"6,284"
1958,Middle Atlantic,"848,301,800","11,423,691",Commercial,"384,787"
1958,South Atlantic,"244,117,000","3,577,626",Commercial,"110,731"
1957,New England,"41,788,100","532,105",Commercial,"18,955"
1957,Middle Atlantic,"1,089,406,700","13,599,642",Commercial,"494,152"
1957,South Atlantic,"196,401,500","2,638,118",Commercial,"89,087"
1956,New England,"78,767,900","1,003,642",Commercial,"35,729"
1956,Middle Atlantic,"1,143,990,500","15,099,419",Commercial,"518,911"
1956,South Atlantic,"314,646,200","3,918,078",Commercial,"142,723"
1955,New England,"79,793,800","1,045,847",Commercial,"36,194"
1955,Middle Atlantic,"1,079,186,000","13,994,009",Commercial,"489,516"
1955,South Atlantic,"227,810,700","2,707,506",Commercial,"103,334"
1954,New England,"59,685,300","762,537",Commercial,"27,073"
1954,Middle Atlantic,"1,070,576,100","14,828,337",Commercial,"485,610"
1954,South Atlantic,"206,262,200","2,588,783",Commercial,"93,560"
1953,New England,"39,875,600","488,436",Commercial,"18,087"
1953,Middle Atlantic,"1,019,810,100","10,843,328",Commercial,"462,583"
1953,South Atlantic,"199,344,300","2,057,798",Commercial,"90,422"
1952,New England,"36,087,900","443,235",Commercial,"16,369"
1952,Middle Atlantic,"572,678,700","5,638,490",Commercial,"259,765"
1952,South Atlantic,"314,841,100","2,543,935",Commercial,"142,811"
1951,New England,"11,761,000","162,059",Commercial,"5,335"
1951,Middle Atlantic,"569,249,300","6,102,745",Commercial,"258,210"
1951,South Atlantic,"188,090,200","1,846,208",Commercial,"85,317"
1950,New England,"9,303,800","90,043",Commercial,"4,220"
1950,Middle Atlantic,"543,858,700","5,233,790",Commercial,"246,693"
1950,South Atlantic,"147,125,000","1,445,217",Commercial,"66,735"
