,,,,
Year,Pounds,Metric Tons,Dollars,Collection
2024,"315,004,924","142,885","75,528,069",Commercial
2023,"290,941,497","131,970","43,815,789",Commercial
2022,"299,957,237","136,060","47,874,635",Commercial
2021,"301,349,508","136,691","46,646,123",Commercial
2020,"273,480,005","124,050","57,126,386",Commercial
2019,"332,511,812","150,826","26,921,609",Commercial
2018,"311,543,671","141,315","27,716,057",Commercial
2017,"284,226,224","128,924","22,865,271",Commercial
2016,"302,899,356","137,394","24,235,842",Commercial
2015,"352,854,848","160,054","28,201,992",Commercial
2014,"326,817,181","148,243","26,045,630",Commercial
2013,"317,949,684","144,221","25,342,800",Commercial
2012,"390,317,699","177,047","31,106,848",Commercial
2011,"414,158,627","187,861","32,995,188",Commercial
2010,"433,240,774","196,517","34,476,160",Commercial
2009,"351,391,883","159,390","23,578,066",Commercial
2008,"353,895,252","160,526","21,270,642",Commercial
2007,"420,481,003","190,729","25,316,714",Commercial
2006,"370,946,438","168,260","22,305,704",Commercial
2005,"372,577,775","169,000","25,443,147",Commercial
2004,"399,797,922","181,347","24,418,822",Commercial
2003,"373,867,599","169,585","22,511,216",Commercial
2002,"364,941,378","165,536","22,113,124",Commercial
2001,"487,143,843","220,967","25,859,656",Commercial
2000,"367,130,978","166,530","27,565,919",Commercial
1999,"378,158,210","171,531","30,221,972",Commercial
1998,"508,727,795","230,757","40,744,067",Commercial
1997,"497,160,943","225,511","30,035,360",Commercial
1996,"584,295,638","265,035","35,263,375",Commercial
1995,"704,447,463","319,535","42,470,929",Commercial
1994,"513,269,653","232,818","31,006,486",Commercial
1993,"639,324,195","289,996","38,392,282",Commercial
1992,"574,826,830","260,740","28,712,218",Commercial
1991,"601,187,849","272,697","30,032,372",Commercial
1990,"704,564,911","319,589","35,126,005",Commercial
1989,"612,162,300","277,675","29,101,230",Commercial
1988,"550,556,300","249,731","27,591,470",Commercial
1987,"615,523,000","279,199","30,732,694",Commercial
1986,"445,674,400","202,157","22,815,277",Commercial
1985,"639,517,500","290,083","29,125,145",Commercial
1984,"485,834,900","220,373","25,320,859",Commercial
1983,"644,713,200","292,440","28,392,913",Commercial
1982,"598,631,000","271,537","26,724,000",Commercial
1981,"400,708,000","181,760","17,152,000",Commercial
1980,"537,222,100","243,682","26,961,126",Commercial
1979,"455,360,000","206,550","22,632,765",Commercial
1978,"420,813,400","190,880","7,608,624",Commercial
1977,"501,273,600","227,376","19,858,697",Commercial
1976,"440,760,700","199,928","12,998,775",Commercial
1975,"315,783,300","143,238","7,717,046",Commercial
1974,"379,251,700","172,027","11,230,030",Commercial
1973,"495,962,600","224,967","20,395,798",Commercial
1972,"549,396,700","249,205","9,179,565",Commercial
1971,"394,144,900","178,783","6,430,802",Commercial
1970,"445,959,900","202,286","7,523,581",Commercial
1969,"178,195,300","80,829","2,724,020",Commercial
1968,"269,717,200","122,343","3,618,475",Commercial
1967,"220,266,900","99,912","2,993,441",Commercial
1966,"272,390,500","123,556","4,324,685",Commercial
1965,"351,613,300","159,491","5,248,867",Commercial
1964,"330,708,500","150,008","4,798,343",Commercial
1963,"255,721,900","115,995","3,295,035",Commercial
1962,"323,594,200","146,781","3,884,105",Commercial
1961,"295,101,100","133,857","3,087,153",Commercial
1960,"246,001,300","111,585","2,221,029",Commercial
1959,"412,302,100","187,019","4,373,357",Commercial
1958,"320,511,700","145,383","4,304,849",Commercial
1957,"265,453,100","120,409","3,120,259",Commercial
1956,"189,047,100","85,751","2,424,379",Commercial
1955,"313,419,400","142,166","3,714,988",Commercial
1954,"284,932,700","129,245","3,669,130",Commercial
1953,"160,075,800","72,610","1,684,786",Commercial
1952,"90,929,700","41,245","1,123,793",Commercial
1951,"126,993,900","57,604","1,110,508",Commercial
1950,"169,814,800","77,027","1,482,721",Commercial
