,,,,,
Year,State,Pounds,Metric Tons,Dollars,Collection
1961,DELAWARE,"302,773,000","137,337","3,356,200",Commercial
1961,MARYLAND,"3,577,700","1,623","59,227",Commercial
1961,MASSACHUSETTS,"3,362,800","1,525","29,858",Commercial
1961,NEW JERSEY,"328,208,000","148,874","3,625,459",Commercial
1961,NEW YORK,"84,068,000","38,133","949,403",Commercial
1961,NORTH CAROLINA,"221,555,400","100,497","2,414,953",Commercial
1961,RHODE ISLAND,"22,635,600","10,267","192,440",Commercial
1962,CONNECTICUT,"4,600",2,57,Commercial
1962,DELAWARE,"268,704,000","121,883","2,782,437",Commercial
1962,MARYLAND,"4,316,100","1,958","76,525",Commercial
1962,MASSACHUSETTS,"16,031,900","7,272","158,813",Commercial
1962,NEW JERSEY,"375,526,600","170,338","3,901,547",Commercial
1962,NEW YORK,"138,256,200","62,713","1,263,217",Commercial
1962,NORTH CAROLINA,"122,898,100","55,746","1,364,169",Commercial
1962,RHODE ISLAND,"7,715,900","3,500","63,710",Commercial
1963,CONNECTICUT,"5,100",2,110,Commercial
1963,DELAWARE,"102,823,600","46,640","1,059,083",Commercial
1963,MARYLAND,"3,292,900","1,494","53,511",Commercial
1963,MASSACHUSETTS,"344,600",156,"3,503",Commercial
1963,NEW JERSEY,"178,377,100","80,911","2,196,978",Commercial
1963,NEW YORK,"91,650,500","41,572","1,013,679",Commercial
1963,NORTH CAROLINA,"190,213,800","86,280","2,326,005",Commercial
1963,RHODE ISLAND,"2,800",1,28,Commercial
1964,CONNECTICUT,"3,900",2,73,Commercial
1964,DELAWARE,"32,554,000","14,766","378,494",Commercial
1964,MARYLAND,"5,706,300","2,588","91,139",Commercial
1964,MASSACHUSETTS,"2,100",1,35,Commercial
1964,NEW JERSEY,"64,278,700","29,157","969,552",Commercial
1964,NEW YORK,"42,424,700","19,244","516,226",Commercial
1964,NORTH CAROLINA,"172,991,700","78,469","2,248,892",Commercial
1965,CONNECTICUT,"3,600",2,68,Commercial
1965,DELAWARE,"46,497,400","21,091","579,213",Commercial
1965,MARYLAND,"8,332,800","3,780","153,037",Commercial
1965,MASSACHUSETTS,"9,100",4,96,Commercial
1965,NEW JERSEY,"74,373,100","33,735","1,270,876",Commercial
1965,NEW YORK,"30,139,600","13,671","417,407",Commercial
1965,NORTH CAROLINA,"160,595,300","72,846","2,072,174",Commercial
1965,RHODE ISLAND,"7,400",3,98,Commercial
1966,CONNECTICUT,"2,000",1,54,Commercial
1966,DELAWARE,"4,230,800","1,919","52,712",Commercial
1966,MARYLAND,"5,504,500","2,497","126,027",Commercial
1966,MASSACHUSETTS,"2,800",1,34,Commercial
1966,NEW JERSEY,"12,914,700","5,858","263,901",Commercial
1966,NEW YORK,"4,870,100","2,209","81,742",Commercial
1966,NORTH CAROLINA,"182,288,900","82,686","2,537,808",Commercial
1966,RHODE ISLAND,"9,000",4,338,Commercial
1967,CONNECTICUT,"2,100",1,71,Commercial
1967,MARYLAND,"3,000,500","1,361","59,788",Commercial
1967,MASSACHUSETTS,"21,000",10,525,Commercial
1967,NEW JERSEY,"45,895,700","20,818","643,631",Commercial
1967,NEW YORK,"642,000",291,"26,633",Commercial
1967,NORTH CAROLINA,"150,480,700","68,258","1,693,735",Commercial
1967,RHODE ISLAND,"12,800",6,269,Commercial
1968,CONNECTICUT,300,0,20,Commercial
1968,MARYLAND,"4,360,300","1,978","92,076",Commercial
1968,MASSACHUSETTS,"7,600",3,112,Commercial
1968,NEW JERSEY,"68,477,500","31,061","963,539",Commercial
1968,NEW YORK,"17,784,800","8,067","193,784",Commercial
1968,NORTH CAROLINA,"167,189,100","75,836","1,957,865",Commercial
1968,RHODE ISLAND,"14,600",7,224,Commercial
1969,CONNECTICUT,"12,800",6,410,Commercial
1969,MARYLAND,"3,456,400","1,568","98,279",Commercial
1969,MASSACHUSETTS,"11,500",5,186,Commercial
1969,NEW JERSEY,"33,993,300","15,419","613,715",Commercial
1969,NEW YORK,"9,762,400","4,428","229,940",Commercial
1969,NORTH CAROLINA,"145,235,000","65,878","2,227,738",Commercial
1969,RHODE ISLAND,"21,400",10,644,Commercial
1970,CONNECTICUT,"128,300",58,"3,284",Commercial
1970,MARYLAND,"3,836,900","1,740","113,920",Commercial
1970,MASSACHUSETTS,"980,400",445,"13,216",Commercial
1970,NEW JERSEY,"30,727,800","13,938","592,261",Commercial
1970,NEW YORK,"741,800",336,"33,562",Commercial
1970,NORTH CAROLINA,"108,235,200","49,095","1,570,489",Commercial
1970,RHODE ISLAND,"9,397,900","4,263","120,108",Commercial
1971,CONNECTICUT,"353,400",160,"17,660",Commercial
1971,MARYLAND,"5,957,600","2,702","119,294",Commercial
1971,MASSACHUSETTS,"6,311,600","2,863","116,524",Commercial
1971,NEW JERSEY,"60,563,200","27,471","1,045,100",Commercial
1971,NEW YORK,"999,300",453,"36,871",Commercial
1971,NORTH CAROLINA,"79,488,200","36,056","1,116,093",Commercial
1971,RHODE ISLAND,"19,228,100","8,722","209,409",Commercial
1972,CONNECTICUT,"369,100",167,"18,452",Commercial
1972,DELAWARE,"29,300",13,961,Commercial
1972,MARYLAND,"7,104,300","3,222","142,468",Commercial
1972,MASSACHUSETTS,"11,919,700","5,407","184,070",Commercial
1972,NEW JERSEY,"138,475,800","62,812","2,262,142",Commercial
1972,NEW YORK,"1,775,200",805,"53,252",Commercial
1972,NORTH CAROLINA,"84,692,100","38,416","1,219,329",Commercial
1972,RHODE ISLAND,"18,402,900","8,348","213,916",Commercial
1973,CONNECTICUT,"575,600",261,"28,722",Commercial
1973,DELAWARE,"32,600",15,"1,108",Commercial
1973,MAINE,"6,935,500","3,146","143,693",Commercial
1973,MARYLAND,"9,657,300","4,381","215,795",Commercial
1973,MASSACHUSETTS,"43,173,200","19,583","860,547",Commercial
1973,NEW JERSEY,"154,483,200","70,073","3,939,308",Commercial
1973,NEW YORK,"1,734,100",787,"52,124",Commercial
1973,NORTH CAROLINA,"66,943,000","30,365","2,539,604",Commercial
1973,RHODE ISLAND,"15,962,000","7,240","303,984",Commercial
1974,CONNECTICUT,"535,000",243,"26,873",Commercial
1974,DELAWARE,"12,600",6,452,Commercial
1974,MAINE,"10,148,600","4,603","155,089",Commercial
1974,MARYLAND,"5,523,100","2,505","140,607",Commercial
1974,MASSACHUSETTS,"47,032,600","21,334","716,741",Commercial
1974,NEW JERSEY,"107,307,400","48,674","2,734,829",Commercial
1974,NEW YORK,"576,300",261,"17,480",Commercial
1974,NORTH CAROLINA,"121,197,700","54,975","2,886,563",Commercial
1974,RHODE ISLAND,"20,725,500","9,401","299,245",Commercial
1975,CONNECTICUT,"515,300",234,"25,198",Commercial
1975,DELAWARE,"20,500",9,821,Commercial
1975,MAINE,"13,958,300","6,331","195,416",Commercial
1975,MARYLAND,"6,105,900","2,770","163,300",Commercial
1975,MASSACHUSETTS,"20,815,400","9,442","274,599",Commercial
1975,NEW JERSEY,"65,933,800","29,907","1,719,176",Commercial
1975,NEW YORK,"1,076,400",488,"42,135",Commercial
1975,NORTH CAROLINA,"153,805,200","69,766","3,258,977",Commercial
1975,RHODE ISLAND,"15,577,600","7,066","194,557",Commercial
1976,CONNECTICUT,"153,200",69,"7,655",Commercial
1976,DELAWARE,"35,300",16,"1,404",Commercial
1976,MAINE,"17,552,600","7,962","299,775",Commercial
1976,MARYLAND,"5,379,700","2,440","182,326",Commercial
1976,MASSACHUSETTS,"28,594,200","12,970","465,070",Commercial
1976,NEW JERSEY,"150,437,500","68,238","4,303,232",Commercial
1976,NEW YORK,"1,013,500",460,"43,013",Commercial
1976,NORTH CAROLINA,"134,902,400","61,191","4,534,354",Commercial
1976,RHODE ISLAND,"12,712,900","5,767","194,314",Commercial
1977,CONNECTICUT,"106,600",48,"5,330",Commercial
1977,DELAWARE,"24,600",11,984,Commercial
1977,MAINE,"3,290,000","1,492","71,062",Commercial
1977,MARYLAND,"8,381,100","3,802","289,816",Commercial
1977,MASSACHUSETTS,"17,410,200","7,897","400,902",Commercial
1977,NEW JERSEY,"97,508,900","44,230","3,444,730",Commercial
1977,NEW YORK,"851,300",386,"42,106",Commercial
1977,NORTH CAROLINA,"158,119,300","71,722","4,369,012",Commercial
1977,RHODE ISLAND,"10,070,700","4,568","206,623",Commercial
1978,CONNECTICUT,"85,100",39,"5,021",Commercial
1978,DELAWARE,"29,700",13,"1,485",Commercial
1978,MAINE,"6,959,900","3,157","173,996",Commercial
1978,MARYLAND,"7,115,900","3,228","291,665",Commercial
1978,MASSACHUSETTS,"99,000",45,"2,476",Commercial
1978,NEW JERSEY,"82,428,200","37,389","2,599,317",Commercial
1978,NEW YORK,"239,600",109,"12,556",Commercial
1978,NORTH CAROLINA,"192,324,170","87,238","7,498,037",Commercial
1978,RHODE ISLAND,"13,181,600","5,979","281,075",Commercial
1979,CONNECTICUT,"100,200",45,"6,996",Commercial
1979,DELAWARE,"47,700",22,"2,862",Commercial
1979,MAINE,"30,005,300","13,610","759,979",Commercial
1979,MARYLAND,"5,608,100","2,544","265,556",Commercial
1979,MASSACHUSETTS,"29,040,700","13,173","732,091",Commercial
1979,NEW JERSEY,"103,280,500","46,848","3,288,883",Commercial
1979,NEW YORK,"712,500",323,"38,996",Commercial
1979,NORTH CAROLINA,"254,329,990","115,363","8,059,572",Commercial
1979,RHODE ISLAND,"7,388,600","3,351","152,298",Commercial
1980,CONNECTICUT,"99,500",45,"4,987",Commercial
1980,MAINE,"18,805,900","8,530","450,475",Commercial
1980,MARYLAND,"8,716,300","3,954","471,715",Commercial
1980,MASSACHUSETTS,"43,351,000","19,664","952,888",Commercial
1980,NEW JERSEY,"120,018,000","54,440","5,895,000",Commercial
1980,NEW YORK,"881,700",400,"47,205",Commercial
1980,NORTH CAROLINA,"196,920,370","89,322","7,139,327",Commercial
1980,RHODE ISLAND,"45,800",21,"3,206",Commercial
1981,CONNECTICUT,"151,400",69,"9,081",Commercial
1981,MAINE,"12,264,100","5,563","292,475",Commercial
1981,MARYLAND,"10,701,100","4,854","632,017",Commercial
1981,MASSACHUSETTS,"35,397,300","16,056","808,517",Commercial
1981,NEW JERSEY,"103,280,400","46,848","4,057,200",Commercial
1981,NEW YORK,"533,200",242,"30,103",Commercial
1981,NORTH CAROLINA,"309,414,710","140,350","10,038,759",Commercial
1981,RHODE ISLAND,"23,000",10,356,Commercial
1982,CONNECTICUT,"171,100",78,"8,555",Commercial
1982,DELAWARE,"58,300",26,"4,370",Commercial
1982,MAINE,"47,894,600","21,725","968,487",Commercial
1982,MARYLAND,"8,946,400","4,058","531,886",Commercial
1982,MASSACHUSETTS,"23,079,600","10,469","504,500",Commercial
1982,NEW JERSEY,"1,637,400",743,"125,075",Commercial
1982,NEW YORK,"394,300",179,"24,462",Commercial
1982,NORTH CAROLINA,"187,015,090","84,829","5,773,042",Commercial
1982,RHODE ISLAND,"7,008,000","3,179","109,562",Commercial
1983,CONNECTICUT,"129,500",59,"6,475",Commercial
1983,DELAWARE,"41,000",19,"2,460",Commercial
1983,MAINE,"42,448,100","19,254","845,981",Commercial
1983,MARYLAND,"6,605,800","2,996","259,129",Commercial
1983,NEW JERSEY,"1,581,600",717,"100,572",Commercial
1983,NEW YORK,"216,300",98,"15,694",Commercial
1983,NORTH CAROLINA,"177,973,440","80,728","6,167,878",Commercial
1983,RHODE ISLAND,"120,800",55,"5,624",Commercial
1984,CONNECTICUT,"186,900",85,"9,345",Commercial
1984,DELAWARE,"208,000",94,"14,560",Commercial
1984,MAINE,"17,806,000","8,077","401,679",Commercial
1984,MARYLAND,"5,363,800","2,433","269,320",Commercial
1984,NEW JERSEY,"2,293,000","1,040","155,219",Commercial
1984,NEW YORK,"692,500",314,"69,749",Commercial
1984,NORTH CAROLINA,"157,667,480","71,517","4,745,831",Commercial
1985,CONNECTICUT,"234,800",107,"11,740",Commercial
1985,DELAWARE,"176,200",80,"14,096",Commercial
1985,MAINE,"33,192,800","15,056","677,403",Commercial
1985,MARYLAND,"5,371,800","2,437","278,082",Commercial
1985,NEW JERSEY,"2,879,800","1,306","177,862",Commercial
1985,NEW YORK,"901,800",409,"99,523",Commercial
1985,NORTH CAROLINA,"97,738,403","44,334","2,330,061",Commercial
1986,CONNECTICUT,"254,400",115,"12,720",Commercial
1986,DELAWARE,"20,100",9,"1,202",Commercial
1986,MAINE,"22,614,600","10,258","380,826",Commercial
1986,MARYLAND,"5,449,400","2,472","361,787",Commercial
1986,NEW JERSEY,"2,453,600","1,113","180,629",Commercial
1986,NEW YORK,"399,650",181,"45,626",Commercial
1986,NORTH CAROLINA,"66,378,260","30,109","1,591,037",Commercial
1987,CONNECTICUT,"94,900",43,"4,745",Commercial
1987,DELAWARE,"22,100",10,"1,478",Commercial
1987,MAINE,"18,668,600","8,468","347,500",Commercial
1987,MARYLAND,"5,793,700","2,628","349,763",Commercial
1987,MASSACHUSETTS,"1,216,200",552,"36,624",Commercial
1987,NEW JERSEY,"2,563,300","1,163","190,492",Commercial
1987,NEW YORK,"206,795",94,"23,918",Commercial
1987,NORTH CAROLINA,"55,498,571","25,174","1,624,511",Commercial
1988,CONNECTICUT,"192,700",87,"21,710",Commercial
1988,DELAWARE,"127,700",58,"8,107",Commercial
1988,MAINE,"19,687,800","8,930","411,669",Commercial
1988,MARYLAND,"6,430,200","2,917","358,839",Commercial
1988,NEW HAMPSHIRE,"4,556",2,911,Commercial
1988,NEW JERSEY,"1,984,200",900,"150,646",Commercial
1988,NEW YORK,"504,100",229,"41,558",Commercial
1988,NORTH CAROLINA,"73,715,713","33,437","2,566,832",Commercial
1989,CONNECTICUT,"148,500",67,"7,420",Commercial
1989,DELAWARE,"90,500",41,"4,455",Commercial
1989,MAINE,"380,600",173,"9,231",Commercial
1989,MARYLAND,"6,166,000","2,797","387,437",Commercial
1989,NEW HAMPSHIRE,"5,200",2,572,Commercial
1989,NEW JERSEY,"2,854,500","1,295","208,520",Commercial
1989,NEW YORK,"449,100",204,"39,478",Commercial
1989,NORTH CAROLINA,"66,756,288","30,280","1,808,906",Commercial
1990,CONNECTICUT,"96,706",44,"4,837",Commercial
1990,DELAWARE,"140,500",64,"8,429",Commercial
1990,MAINE,"5,744,597","2,606","484,590",Commercial
1990,MARYLAND,"2,634,223","1,195","204,727",Commercial
1990,MASSACHUSETTS,"1,361,900",618,"57,086",Commercial
1990,NEW HAMPSHIRE,"264,500",120,"5,880",Commercial
1990,NEW JERSEY,"9,041,459","4,101","537,697",Commercial
1990,NEW YORK,"649,710",295,"68,955",Commercial
1990,NORTH CAROLINA,"72,231,989","32,764","1,820,654",Commercial
1991,CONNECTICUT,"96,300",44,"4,815",Commercial
1991,DELAWARE,"280,100",127,"14,005",Commercial
1991,MAINE,"16,107,463","7,306","1,263,781",Commercial
1991,MARYLAND,"3,540,179","1,606","547,654",Commercial
1991,MASSACHUSETTS,"6,326,300","2,870","271,055",Commercial
1991,NEW HAMPSHIRE,"204,000",93,"8,160",Commercial
1991,NEW JERSEY,"16,597,402","7,529","754,620",Commercial
1991,NEW YORK,"650,150",295,"64,805",Commercial
1991,NORTH CAROLINA,"110,528,754","50,136","3,002,829",Commercial
1992,CONNECTICUT,"91,200",41,"4,560",Commercial
1992,DELAWARE,"105,700",48,"5,305",Commercial
1992,MAINE,"14,857,195","6,739","910,046",Commercial
1992,MARYLAND,"2,295,039","1,041","185,838",Commercial
1992,MASSACHUSETTS,"6,606,593","2,997","263,749",Commercial
1992,NEW HAMPSHIRE,"25,920",12,"1,495",Commercial
1992,NEW JERSEY,"27,470,906","12,461","1,288,804",Commercial
1992,NEW YORK,"1,131,701",513,"126,842",Commercial
1992,NORTH CAROLINA,"57,515,712","26,089","1,744,030",Commercial
1993,CONNECTICUT,"199,591",91,"9,980",Commercial
1993,DELAWARE,"164,100",74,"9,850",Commercial
1993,MAINE,"19,520,455","8,854","1,338,385",Commercial
1993,MARYLAND,"3,085,698","1,400","264,071",Commercial
1993,MASSACHUSETTS,"1,332,000",604,"53,065",Commercial
1993,NEW HAMPSHIRE,"3,710",2,557,Commercial
1993,NEW JERSEY,"28,296,741","12,835","1,391,108",Commercial
1993,NEW YORK,"1,048,993",476,"119,609",Commercial
1993,NORTH CAROLINA,"64,711,384","29,353","1,954,299",Commercial
1994,CONNECTICUT,"100,000",45,"5,000",Commercial
1994,DELAWARE,"78,700",36,"7,867",Commercial
1994,MARYLAND,"3,512,417","1,593","891,430",Commercial
1994,NEW JERSEY,"38,329,332","17,386","1,997,503",Commercial
1994,NEW YORK,"961,474",436,"128,657",Commercial
1994,NORTH CAROLINA,"73,853,902","33,500","3,178,612",Commercial
1995,CONNECTICUT,"255,664",116,"30,679",Commercial
1995,DELAWARE,"101,300",46,"10,139",Commercial
1995,MASSACHUSETTS,"61,000",28,"2,745",Commercial
1995,NEW JERSEY,"36,578,407","16,592","1,942,323",Commercial
1995,NEW YORK,"1,087,978",494,"152,379",Commercial
1995,NORTH CAROLINA,"58,374,080","26,478","3,560,966",Commercial
1996,CONNECTICUT,"82,851",38,"12,437",Commercial
1996,DELAWARE,"100,823",46,"10,098",Commercial
1996,MASSACHUSETTS,"8,500",4,"1,870",Commercial
1996,NEW JERSEY,"35,516,726","16,110","2,288,850",Commercial
1996,NEW YORK,"11,135",5,"1,215",Commercial
1996,NORTH CAROLINA,"53,850,944","24,427","4,858,478",Commercial
1997,CONNECTICUT,"72,329",33,"10,865",Commercial
1997,DELAWARE,"55,733",25,"6,242",Commercial
1997,MARYLAND,"4,898,967","2,222","481,060",Commercial
1997,NEW JERSEY,"38,118,579","17,290","2,990,322",Commercial
1997,NEW YORK,"553,953",251,"55,604",Commercial
1997,NORTH CAROLINA,"97,727,058","44,329","8,794,213",Commercial
1997,RHODE ISLAND,"2,836,550","1,287","142,900",Commercial
1998,CONNECTICUT,"338,817",154,"50,829",Commercial
1998,DELAWARE,"58,048",26,"6,155",Commercial
1998,MARYLAND,"4,463,884","2,025","426,307",Commercial
1998,NEW HAMPSHIRE,9,0,5,Commercial
1998,NEW JERSEY,"33,287,641","15,099","2,980,128",Commercial
1998,NEW YORK,"29,334",13,"3,453",Commercial
1998,NORTH CAROLINA,"57,976,455","26,298","4,121,666",Commercial
1998,RHODE ISLAND,"2,018,800",916,"101,020",Commercial
1999,CONNECTICUT,"30,298",14,"4,550",Commercial
1999,DELAWARE,"78,551",36,"7,034",Commercial
1999,MARYLAND,"5,721,212","2,595","463,483",Commercial
1999,MASSACHUSETTS,"904,200",410,"36,168",Commercial
1999,NEW JERSEY,"31,036,717","14,078","2,429,283",Commercial
1999,NEW YORK,"11,511",5,"2,917",Commercial
1999,NORTH CAROLINA,"42,799,082","19,414","2,680,644",Commercial
1999,RHODE ISLAND,"2,330",1,590,Commercial
2000,CONNECTICUT,"14,423",7,"1,444",Commercial
2000,DELAWARE,"47,980",22,"6,790",Commercial
2000,MARYLAND,"4,870,835","2,209","522,909",Commercial
2000,NEW JERSEY,"31,266,780","14,183","1,875,061",Commercial
2000,NEW YORK,"282,920",128,"70,202",Commercial
2000,NORTH CAROLINA,"56,280,111","25,528","3,495,747",Commercial
2000,RHODE ISLAND,"320,000",145,"19,200",Commercial
2001,CONNECTICUT,"38,865",18,"9,722",Commercial
2001,DELAWARE,"53,254",24,"4,291",Commercial
2001,MARYLAND,"4,618,607","2,095","381,750",Commercial
2001,NEW JERSEY,"26,375,573","11,964","1,506,823",Commercial
2001,NEW YORK,"296,116",134,"30,523",Commercial
2001,NORTH CAROLINA,"56,012,398","25,407","4,551,444",Commercial
2002,CONNECTICUT,"1,138,788",517,"291,534",Commercial
2002,DELAWARE,"83,015",38,"7,902",Commercial
2002,MARYLAND,"4,850,391","2,200","423,271",Commercial
2002,NEW JERSEY,"24,725,015","11,215","1,577,936",Commercial
2002,NEW YORK,"6,480",3,"1,065",Commercial
2002,NORTH CAROLINA,"69,190,601","31,385","5,045,423",Commercial
2003,CONNECTICUT,"46,515",21,"4,655",Commercial
2003,DELAWARE,"45,871",21,"4,330",Commercial
2003,MARYLAND,"4,231,660","1,919","336,860",Commercial
2003,NEW JERSEY,"20,450,091","9,276","1,478,493",Commercial
2003,NEW YORK,"148,575",67,"21,129",Commercial
2003,NORTH CAROLINA,"48,936,503","22,197","1,748,071",Commercial
2004,CONNECTICUT,"33,210",15,"3,327",Commercial
2004,DELAWARE,"75,635",34,"6,480",Commercial
2004,MARYLAND,"3,297,691","1,496","375,581",Commercial
2004,NEW HAMPSHIRE,140,0,17,Commercial
2004,NEW JERSEY,"18,023,688","8,175","1,186,929",Commercial
2004,NEW YORK,"75,420",34,"9,947",Commercial
2004,NORTH CAROLINA,"50,577,982","22,942","4,535,531",Commercial
2004,RHODE ISLAND,"39,232",18,"4,306",Commercial
2005,CONNECTICUT,"30,636",14,"3,068",Commercial
2005,DELAWARE,"120,429",55,"14,904",Commercial
2005,MARYLAND,"15,759,698","7,149","1,897,538",Commercial
2005,MASSACHUSETTS,"1,967,984",893,"132,625",Commercial
2005,NEW JERSEY,"24,092,525","10,928","9,423,313",Commercial
2005,NEW YORK,"74,205",34,"9,664",Commercial
2005,NORTH CAROLINA,"13,386,247","6,072","1,223,030",Commercial
2005,RHODE ISLAND,"14,471",7,"3,429",Commercial
2006,CONNECTICUT,"866,235",393,"69,303",Commercial
2006,DELAWARE,"107,824",49,"10,467",Commercial
2006,MARYLAND,"5,192,489","2,355","650,360",Commercial
2006,MASSACHUSETTS,"2,504,211","1,136","232,507",Commercial
2006,NEW JERSEY,"24,085,182","10,925","2,102,620",Commercial
2006,NEW YORK,"329,986",150,"34,454",Commercial
2006,NORTH CAROLINA,"962,647",437,"147,795",Commercial
