,,,,,
Year,State,Pounds,Metric Tons,Dollars,Collection
1950,CONNECTICUT,"43,700",20,696,Commercial
1950,DELAWARE,"151,857,500","68,882","1,548,947",Commercial
1950,MAINE,"490,000",222,"2,511",Commercial
1950,MARYLAND,"1,097,400",498,"9,946",Commercial
1950,MASSACHUSETTS,"8,762,000","3,974","86,726",Commercial
1950,NEW JERSEY,"138,578,600","62,859","1,497,647",Commercial
1950,NEW YORK,"82,510,400","37,426","694,529",Commercial
1950,NORTH CAROLINA,"124,904,900","56,656","1,221,468",Commercial
1950,RHODE ISLAND,"8,100",4,110,Commercial
1951,CONNECTICUT,"70,100",32,783,Commercial
1951,DELAWARE,"166,488,700","75,519","1,911,375",Commercial
1951,MAINE,"1,514,300",687,"8,610",Commercial
1951,MARYLAND,"430,900",195,"4,467",Commercial
1951,MASSACHUSETTS,"7,208,100","3,270","108,217",Commercial
1951,NEW JERSEY,"189,902,600","86,139","2,179,652",Commercial
1951,NEW YORK,"85,433,200","38,752","896,743",Commercial
1951,NORTH CAROLINA,"104,012,900","47,180","978,562",Commercial
1951,RHODE ISLAND,"2,968,500","1,347","44,449",Commercial
1952,CONNECTICUT,"98,900",45,"1,410",Commercial
1952,DELAWARE,"207,657,100","94,193","2,018,102",Commercial
1952,MAINE,"604,600",274,"6,056",Commercial
1952,MARYLAND,"1,444,400",655,"13,573",Commercial
1952,MASSACHUSETTS,"25,980,600","11,785","326,050",Commercial
1952,NEW JERSEY,"179,458,200","81,402","1,606,046",Commercial
1952,NEW YORK,"93,189,300","42,270","876,976",Commercial
1952,NORTH CAROLINA,"191,341,300","86,792","1,626,501",Commercial
1952,RHODE ISLAND,"9,403,800","4,266","109,719",Commercial
1953,CONNECTICUT,"218,200",99,"2,383",Commercial
1953,DELAWARE,"360,843,700","163,678","3,969,301",Commercial
1953,MAINE,"2,184,000",991,"26,083",Commercial
1953,MARYLAND,"2,150,900",976,"20,997",Commercial
1953,MASSACHUSETTS,"20,288,400","9,203","253,572",Commercial
1953,NEW JERSEY,"396,308,700","179,764","3,865,694",Commercial
1953,NEW YORK,"100,431,000","45,555","1,302,550",Commercial
1953,NORTH CAROLINA,"132,104,700","59,922","1,387,098",Commercial
1953,RHODE ISLAND,"17,185,000","7,795","206,398",Commercial
1954,CONNECTICUT,"69,900",32,"1,001",Commercial
1954,DELAWARE,"306,479,600","139,018","4,476,741",Commercial
1954,MAINE,"5,876,400","2,666","47,172",Commercial
1954,MARYLAND,"3,883,100","1,761","41,054",Commercial
1954,MASSACHUSETTS,"35,794,400","16,236","491,486",Commercial
1954,NEW JERSEY,"376,805,100","170,918","5,127,646",Commercial
1954,NEW YORK,"98,475,600","44,668","1,513,766",Commercial
1954,NORTH CAROLINA,"160,301,000","72,712","2,067,883",Commercial
1954,RHODE ISLAND,"17,944,600","8,140","222,878",Commercial
1955,CONNECTICUT,"43,300",20,553,Commercial
1955,DELAWARE,"307,475,800","139,470","4,091,457",Commercial
1955,MAINE,"4,016,100","1,822","42,206",Commercial
1955,MARYLAND,"1,939,900",880,"38,799",Commercial
1955,MASSACHUSETTS,"61,392,900","27,848","823,938",Commercial
1955,NEW JERSEY,"366,734,600","166,350","4,684,344",Commercial
1955,NEW YORK,"89,616,300","40,650","1,464,421",Commercial
1955,NORTH CAROLINA,"184,918,700","83,879","2,292,993",Commercial
1955,RHODE ISLAND,"14,341,500","6,505","179,150",Commercial
1956,CONNECTICUT,"22,500",10,255,Commercial
1956,DELAWARE,"352,946,700","160,096","4,624,495",Commercial
1956,MAINE,"1,216,400",552,"15,347",Commercial
1956,MARYLAND,"1,375,300",624,"27,507",Commercial
1956,MASSACHUSETTS,"66,407,000","30,122","856,297",Commercial
1956,NEW JERSEY,"486,224,400","220,550","6,335,404",Commercial
1956,NEW YORK,"114,397,000","51,890","1,687,634",Commercial
1956,NORTH CAROLINA,"246,647,900","111,879","3,379,080",Commercial
1956,RHODE ISLAND,"11,122,000","5,045","131,743",Commercial
1957,CONNECTICUT,"32,500",15,470,Commercial
1957,DELAWARE,"286,272,200","129,852","3,665,717",Commercial
1957,MAINE,"273,400",124,"3,418",Commercial
1957,MARYLAND,"2,398,700","1,088","35,979",Commercial
1957,MASSACHUSETTS,"21,704,500","9,845","292,380",Commercial
1957,NEW JERSEY,"418,512,200","189,836","5,118,091",Commercial
1957,NEW YORK,"116,770,500","52,967","1,659,596",Commercial
1957,NORTH CAROLINA,"172,522,300","78,256","2,380,826",Commercial
1957,RHODE ISLAND,"19,777,700","8,971","235,837",Commercial
1958,CONNECTICUT,"22,200",10,360,Commercial
1958,DELAWARE,"269,667,000","122,320","3,775,337",Commercial
1958,MARYLAND,"2,273,800","1,031","22,736",Commercial
1958,MASSACHUSETTS,"3,917,300","1,777","53,547",Commercial
1958,NEW JERSEY,"200,550,300","90,969","2,542,525",Commercial
1958,NEW YORK,"55,299,000","25,083","778,244",Commercial
1958,NORTH CAROLINA,"235,384,500","106,770","3,483,690",Commercial
1958,RHODE ISLAND,"9,914,300","4,497","119,143",Commercial
1959,CONNECTICUT,"21,400",10,269,Commercial
1959,DELAWARE,"281,141,000","127,525","3,149,053",Commercial
1959,MARYLAND,"2,203,300",999,"33,049",Commercial
1959,MASSACHUSETTS,"36,584,900","16,595","504,668",Commercial
1959,NEW JERSEY,"296,099,600","134,310","3,459,653",Commercial
1959,NEW YORK,"75,783,300","34,375","958,633",Commercial
1959,NORTH CAROLINA,"279,887,800","126,956","3,246,699",Commercial
1959,RHODE ISLAND,"16,245,000","7,369","194,924",Commercial
1960,CONNECTICUT,"13,000",6,181,Commercial
1960,DELAWARE,"280,711,000","127,330","2,750,966",Commercial
1960,MAINE,"35,000",16,625,Commercial
1960,MARYLAND,"2,903,900","1,317","49,366",Commercial
1960,MASSACHUSETTS,"18,032,200","8,179","173,709",Commercial
1960,NEW JERSEY,"305,926,700","138,767","2,956,964",Commercial
1960,NEW YORK,"84,161,000","38,175","847,682",Commercial
1960,NORTH CAROLINA,"190,431,300","86,379","1,980,480",Commercial
1960,RHODE ISLAND,"24,549,000","11,135","220,965",Commercial
1961,CONNECTICUT,"12,300",6,139,Commercial
