,,,,
Year,Pounds,Metric Tons,Dollars,Collection
2024,"392,908,783","178,222","92,862,081",Commercial
2023,"357,583,107","162,199","58,903,058",Commercial
2022,"390,794,767","177,263","76,106,440",Commercial
2021,"444,607,449","201,673","126,316,416",Commercial
2020,"392,250,068","177,923","121,303,538",Commercial
2019,"436,534,667","198,011","46,097,089",Commercial
2018,"414,339,145","187,943","43,918,772",Commercial
2017,"396,234,289","179,731","41,896,685",Commercial
2016,"371,721,939","168,612","35,731,611",Commercial
2015,"440,382,717","199,756","40,755,810",Commercial
2014,"382,744,288","173,612","33,566,201",Commercial
2013,"369,134,615","167,438","34,021,703",Commercial
2012,"494,292,931","224,210","40,258,840",Commercial
2011,"497,040,058","225,456","39,781,605",Commercial
2010,"504,810,869","228,981","40,974,914",Commercial
2009,"402,740,714","182,682","29,412,200",Commercial
2008,"416,249,505","188,810","26,514,783",Commercial
2007,"477,689,318","216,678","30,450,043",Commercial
2006,"404,114,789","183,305","25,410,024",Commercial
2005,"414,637,723","188,078","36,927,688",Commercial
2004,"421,342,938","191,120","26,005,409",Commercial
2003,"398,790,311","180,890","24,356,683",Commercial
2002,"395,745,067","179,509","24,414,832",Commercial
2001,"518,526,258","235,202","27,792,765",Commercial
2000,"403,933,916","183,223","30,061,525",Commercial
1999,"415,943,029","188,671","33,165,997",Commercial
1998,"548,924,328","248,990","44,311,964",Commercial
1997,"543,697,054","246,619","33,722,353",Commercial
1996,"620,015,673","281,237","37,577,845",Commercial
1995,"742,531,812","336,810","44,609,194",Commercial
1994,"556,251,576","252,314","34,036,943",Commercial
1993,"692,975,483","314,332","41,578,907",Commercial
1992,"627,411,084","284,592","31,498,857",Commercial
1991,"644,989,743","292,565","32,961,267",Commercial
1990,"724,498,506","328,630","36,498,206",Commercial
1989,"622,256,700","282,254","29,758,343",Commercial
1988,"579,487,556","262,854","28,584,910",Commercial
1987,"644,088,595","292,157","31,687,214",Commercial
1986,"476,866,150","216,305","23,798,067",Commercial
1985,"682,274,700","309,478","30,383,851",Commercial
1984,"512,385,100","232,416","26,240,731",Commercial
1983,"695,856,300","315,638","29,628,848",Commercial
1982,"687,820,700","311,993","29,000,897",Commercial
1981,"563,058,500","255,402","22,981,749",Commercial
1980,"729,140,300","330,736","34,786,602",Commercial
1979,"631,543,600","286,466","27,880,426",Commercial
1978,"530,952,400","240,838","10,976,215",Commercial
1977,"638,917,000","289,811","24,320,250",Commercial
1976,"656,639,600","297,850","18,495,564",Commercial
1975,"439,786,500","199,486","10,332,248",Commercial
1974,"571,112,800","259,055","15,321,346",Commercial
1973,"728,516,100","330,453","25,941,079",Commercial
1972,"727,473,000","329,980","12,054,826",Commercial
1971,"487,558,100","221,155","7,975,660",Commercial
1970,"491,773,000","223,067","8,399,932",Commercial
1969,"225,453,100","102,265","3,667,194",Commercial
1968,"360,362,300","163,459","4,868,230",Commercial
1967,"269,841,000","122,399","3,724,358",Commercial
1966,"299,924,400","136,045","4,849,493",Commercial
1965,"510,976,300","231,777","7,669,662",Commercial
1964,"475,678,200","215,766","6,753,862",Commercial
1963,"632,218,500","286,772","7,621,927",Commercial
1962,"1,134,149,500","514,447","12,130,411",Commercial
1961,"1,039,738,500","471,622","11,299,879",Commercial
1960,"962,333,100","436,511","9,221,487",Commercial
1959,"1,120,380,600","508,201","12,673,606",Commercial
1958,"862,155,600","391,071","11,596,741",Commercial
1957,"1,131,194,800","513,107","14,131,747",Commercial
1956,"1,222,758,400","554,640","16,103,061",Commercial
1955,"1,158,979,800","525,710","15,039,856",Commercial
1954,"1,130,261,400","512,683","15,590,874",Commercial
1953,"1,059,685,700","480,670","11,331,764",Commercial
1952,"608,766,600","276,135","6,081,725",Commercial
1951,"581,010,300","263,545","6,264,804",Commercial
1950,"553,162,500","250,913","5,323,833",Commercial
