Year,Coast,Subregion,State,Common Name,Pounds,Live Pounds,Dollars,% Display
2022,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2022,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",52929,52929,136408.25,100%
2022,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4982957,4982957,862810.35,100%
2022,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,48029601.87,48029601.87,11653571.215,100%
2022,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1095744,1095744,336387.01,100%
2022,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,333910525.54,333910525.54,53293745.18704,100%
2022,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,617151,617151,243982.84,100%
2022,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,539498.68,539498.68,166500.99,100%
2022,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,10425267,10425267,4078897.04,100%
2022,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,19335721.79,19335721.79,8371853.19,100%
2022,US Atlantic Coast,North Atlantic,MAINE,"MENHADEN, ATLANTIC",1012441.15,1012441.15,484212.35,100%
2022,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,4986600,4986600,1996040,100%
2022,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,299252,299252,67664.46,100%
2021,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2021,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,179176.5,179176.5,38553.335,100%
2021,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",37081,37081,4019.62,100%
2021,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,9916571.79,9916571.79,2485959.66,100%
2021,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4020789,4020789,644002.88,100%
2021,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,430623.16,430623.16,116006.93,100%
2021,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,80406179.71,80406179.71,16608061.5377,100%
2021,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,4807900,4807900,1697400,100%
2021,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,3420786.09,3420786.09,568453.36,100%
2021,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,3575154.3,3575154.3,536806.064,100%
2021,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,326817256.35,326817256.35,48947773.0061,100%
2021,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,36890618.62,36890618.62,57086488.59,100%
2020,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2020,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,,,,0%
2020,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,599742.14,599742.14,123442.55,100%
2020,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,10896428.53,10896428.53,2782747.9,100%
2020,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,198487,198487,30896.1,100%
2020,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",161125,161125,15984.95,100%
2020,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3492261,3492261,966247.14,100%
2020,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,90583260.31,90583260.31,19368416.145,100%
2020,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,4408349.46,4408349.46,767330.49,100%
2020,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,307526086.28,307526086.28,64235598.5245,100%
2020,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,217109.5,217109.5,48768.585,100%
2020,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,8821142,8821142,2628543.17,100%
2019,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2019,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,4540800,4540800,791716,100%
2019,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,66669,66669,16162.88,100%
2019,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,551849.47,551849.47,138037.38,100%
2019,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",78331,78331,8369.3,100%
2019,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,8975045,8975045,2475485.2,100%
2019,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,77981507.87,77981507.87,13716196.0122,100%
2019,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,974552.5,974552.5,175871.93,100%
2019,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,366855996.97,366855996.97,29693249.3,100%
2019,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,133202,133202,26684.87,100%
2019,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,6964323,6964323,1314355.28,100%
2019,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4309024.5,4309024.5,648772.15,100%
2018,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,,,,0%
2018,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2018,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,5679208.7,5679208.7,871617.0396,100%
2018,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,713978.14,713978.14,175007.28,100%
2018,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,5720620,5720620,1440624.22,100%
2018,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,84791590.1,84791590.1,12913185.4773,100%
2018,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,731717,731717,58921.17,100%
2018,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,355087757.41,355087757.41,31593792.97,100%
2018,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,849690,849690,70132.86,100%
2018,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4388403,4388403,732878.06,100%
2018,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",163158,163158,17082.18,100%
2018,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,472087.04,472087.04,98474.36,100%
2017,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2017,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,,,,0%
2017,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,321816643.42,321816643.42,25895343.74,100%
2017,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,752799.23,752799.23,160180.96,100%
2017,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",84799,84799,8937.66,100%
2017,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,1752756,1752756,136892.64,100%
2017,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,203138,203138,35387.19,100%
2017,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,98654475.1,98654475.1,16650639.7655,100%
2017,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,3696973.77,3696973.77,637244.27,100%
2017,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,2413434,2413434,681839.81,100%
2017,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1634042.07,1634042.07,232278.451,100%
2017,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3568447,3568447,648194.7,100%
2016,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,52816776.11,52816776.11,8607178.3798,100%
2016,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1637912.63,1637912.63,194075.1725,100%
2016,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,317328,317328,34832.35,100%
2016,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,398043.7,398043.7,76862.72,100%
2016,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,4372166,4372166,1230782.8,100%
2016,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,66992.2,66992.2,11596.286,100%
2016,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",75238,75238,7843.12,100%
2016,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,3063055.04,3063055.04,374366.7745,100%
2016,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,6473115,6473115,1035094.33,100%
2016,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,323119953.65,323119953.65,25855812.99,100%
2015,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1407002,1407002,194827.6,100%
2015,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",7438,7438,2495.36,100%
2015,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,352854847.92,352854847.92,28201991.61,100%
2015,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,81387,81387,13828.26,100%
2015,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,72106978.75,72106978.75,10687187.745,100%
2015,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,898321.5,898321.5,154384.95,100%
2015,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,2060381,2060381,183467.25,100%
2015,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",150542,150542,16087.45,100%
2015,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,8785713,8785713,1222197.33,100%
2015,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,2928427.07,2928427.07,233727.53,100%
2014,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2014,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,43881091.2,43881091.2,5774333.8,100%
2014,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,768537.5,768537.5,113033.36,100%
2014,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",6245,6245,2227.15,100%
2014,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,326817180.67,326817180.67,26045630.07,100%
2014,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,8353684.17,8353684.17,1379391.67,100%
2014,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,2218570.46,2218570.46,166035.86,100%
2014,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,917904.97,917904.97,148678.21,100%
2014,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,500903.2,500903.2,62766.72,100%
2014,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",161524,161524,16444.87,100%
2014,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,36552,36552,6337.4,100%
2013,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2013,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,317949683.66,317949683.66,25343247.39,100%
2013,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,6703,6703,3933.5,100%
2013,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,2301539.12,2301539.12,177968.15,100%
2013,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,454206.17,454206.17,74991.25,100%
2013,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",8167,8167,3815.93,100%
2013,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",125909,125909,12341.49,100%
2013,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,7682317,7682317,903448.7,100%
2013,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,"MENHADEN, ATLANTIC",39819341.89,39819341.89,7442434.93,100%
2013,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1141133,1141133,117228,100%
2013,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,99821.2,99821.2,17732.42,100%
2012,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2012,US Atlantic Coast,North Atlantic,MAINE,"MENHADEN, ATLANTIC",,,,0%
2012,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,"MENHADEN, ATLANTIC",,,,0%
2012,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,"MENHADEN, ATLANTIC",85457890,85457890,7226118.48,100%
2012,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,106605.6,106605.6,18300.14,100%
2012,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,218695,218695,22650.72,100%
2012,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,16371030,16371030,1667546.66,100%
2012,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,390317699.27,390317699.27,31106848.27,100%
2012,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,37454,37454,9513.32,100%
2012,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,538791.72,538791.72,82362.6,100%
2012,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",140375,140375,14300.19,100%
2012,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,1629203.68,1629203.68,189484.69,100%
2012,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",13978.2,13978.2,4077.5,100%
2011,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2011,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,,,,0%
2011,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,3530003.06,3530003.06,328745.86,100%
2011,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,7981572.5,7981572.5,681904.81,100%
2011,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,"MENHADEN, ATLANTIC",74324485,74324485,5945958.8,100%
2011,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",64566,64566,5245.01,100%
2011,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,201405,201405,32962.02,100%
2011,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",111933.86,111933.86,10851.61,100%
2011,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,414158627.24,414158627.24,32995187.68,100%
2011,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,26929,26929,7304.76,100%
2011,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,86640.74,86640.74,87976.54,100%
2011,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,83899,83899,14214.18,100%
2010,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2010,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,,,,0%
2010,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,42489,42489,9317.86,100%
2010,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,4948436.53,4948436.53,602219.29,100%
2010,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,"MENHADEN, ATLANTIC",390,390,300.9,100%
2010,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,78149,78149,18356.84,100%
2010,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,433240774.37,433240774.37,34476160.02,100%
2010,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",51933,51933,4757.9,100%
2010,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,15461409.5,15461409.5,728568.7,100%
2010,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,"MENHADEN, ATLANTIC",50497252.75,50497252.75,5049725.275,100%
2010,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,318266,318266,57840.53,100%
2010,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",171768.8,171768.8,27667,100%
2010,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,1299149.89,1299149.89,105479.37,100%
2009,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2009,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,351391882.87,351391882.87,23578065.61,100%
2009,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,170907,170907,26883.7,100%
2009,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,6695387.74,6695387.74,751493.89,100%
2009,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,9550315.5,9550315.5,895601.17,100%
2009,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",69476,69476,5592.1,100%
2009,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,2124733.59,2124733.59,233803.52,100%
2009,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,102730,102730,21335.02,100%
2009,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",219145.6,219145.6,27487.2,100%
2009,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,166942,166942,21482.26,100%
2009,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,"MENHADEN, ATLANTIC",32.5,32.5,10.2,100%
2009,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,107548.2,107548.2,19663.922,100%
2009,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,"MENHADEN, ATLANTIC",34266347,34266347,4064585.39,100%
2008,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2008,US Atlantic Coast,North Atlantic,MAINE,"MENHADEN, ATLANTIC",,,,0%
2008,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,104881,104881,10488.1,100%
2008,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,645230.62,645230.62,67718.25,100%
2008,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",72970,72970,6068.18,100%
2008,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,9654813,9654813,920300.94,100%
2008,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,353895252.42,353895252.42,21270641.81,100%
2008,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,33838941,33838941,2236566.4,100%
2008,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,4200465,4200465,428697.55,100%
2008,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,"MENHADEN, ATLANTIC",408,408,150.72,100%
2008,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,103373,103373,24427.6,100%
2008,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",11399.8,11399.8,3460.05,100%
2008,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,269288.4,269288.4,44115.79,100%
2008,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,14097713.2,14097713.2,1569866.04,100%
2007,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2007,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,,,,0%
2007,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,37634929,37634929,3193720.62,100%
2007,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,"MENHADEN, ATLANTIC",484,484,285.14,100%
2007,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,129155,129155,18603.4,100%
2007,US Atlantic Coast,Mid-Atlantic,NEW YORK,"MENHADEN, ATLANTIC",8124.14,8124.14,3621.84,100%
2007,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,8948,8948,1194.5,100%
2007,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,1134208.25,1134208.25,140994.56,100%
2007,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,420481003.19,420481003.19,25316714.39,100%
2007,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,90254,90254,9029,100%
2007,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",81850,81850,6283.34,100%
2007,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,5513812.5,5513812.5,522847.19,100%
2007,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,13740758,13740758,1377744.02,100%
2006,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,82424,82424,4609,100%
2006,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,24769744.08,24769744.08,2160585.9,100%
2006,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,334786,334786,35309,100%
2006,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,370989267,370989267,22309634.6,100%
2006,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2006,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,866235,866235,69303,100%
2006,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,2504211,2504211,232507,100%
2006,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,962650.64,962650.64,147310.16,100%
2006,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5263499,5263499,658351.06,100%
2005,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,14471,14471,3429,100%
2005,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,24092525,24092525,9423313.19,100%
2005,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,74205,74205,9664,100%
2005,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,15805899,15805899,1902174,100%
2005,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,13387422.88,13387422.88,1223118.11,100%
2005,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2005,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,30636,30636,3068,100%
2005,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,,,,0%
2005,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,372577775,372577775,25443147,100%
2004,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,,,,0%
2004,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,33210,33210,3327,100%
2004,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,399797922,399797922,24418821.12,100%
2004,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,39232,39232,4306,100%
2004,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,140,140,17,100%
2004,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,18023688,18023688,1186929,100%
2004,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3336180,3336180,380937.24,100%
2004,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,75635,75635,6480.36,100%
2004,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,50577982.58,50577982.58,4535508.35,100%
2003,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,373867599,373867599,22566984,100%
