Year,Coast,Subregion,State,Common Name,Pounds,Live Pounds,Dollars,% Display
2025,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2025,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",,,,0%
2025,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,466347,466347,107711.94,100%
2025,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,12120706,12120706,3901477.77,100%
2025,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,458487.22,458487.22,132013.24,100%
2025,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,61053,61053,21128.68,100%
2025,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,6592800,6592800,2058931,100%
2025,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,140112104.78,140112104.78,31959304.727,100%
2025,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,359838,359838,94468.68,100%
2025,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,720181,720181,223547.23,100%
2025,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,894889.48,894889.48,156472.49,100%
2025,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,16782508.77,16782508.77,8997047.84,100%
2024,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,,,,0%
2024,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,,,,0%
2024,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2024,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,96418404.72,96418404.72,22441862.255,100%
2024,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,12346376,12346376,3607996.67,100%
2024,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,49896,49896,16363.37,100%
2024,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,1904865,1904865,685360.43,100%
2024,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,359167.04,359167.04,96243.36,100%
2024,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1406450.38,1406450.38,345457.26,100%
2024,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",46279,46279,11749.14,100%
2024,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,316427188.28,316427188.28,79027973.73775,100%
2024,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,14357549.81,14357549.81,6077698.41,100%
2023,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,294146886.53,294146886.53,55878251.5591,100%
2023,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,202157,202157,50644.95,100%
2023,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,2980815,2980815,893019.27,100%
2023,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,619374.26,619374.26,166470.33,100%
2023,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,14198454.68,14198454.68,6355502.93,100%
2023,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,450198.7,450198.7,117739.87,100%
2023,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,159875,159875,58087.5,100%
2023,US Atlantic Coast,Mid-Atlantic,DELAWARE,"MENHADEN, ATLANTIC",46971,46971,22604.22,100%
2023,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3125593,3125593,654843.39,100%
2023,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,84147202.73,84147202.73,20592263.80175,100%
2023,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,4375900,4375900,1408295,100%
