,,,,
Year,Pounds,Metric Tons,Dollars,Collection
2024,"397,649,965","180,373","1,392,662,585",Commercial
2023,"415,976,025","188,685","1,352,455,087",Commercial
2022,"428,527,434","194,379","1,415,969,259",Commercial
2021,"501,276,191","227,377","1,954,780,253",Commercial
2020,"485,044,508","220,015","1,210,202,839",Commercial
2019,"516,485,887","234,276","1,505,481,684",Commercial
2018,"596,570,911","270,603","1,454,536,080",Commercial
2017,"578,961,144","262,615","1,334,203,066",Commercial
2016,"624,389,257","283,221","1,431,099,813",Commercial
2015,"608,514,141","276,020","1,278,116,765",Commercial
2014,"659,753,185","299,262","1,243,096,357",Commercial
2013,"634,757,474","287,924","1,162,418,951",Commercial
2012,"691,304,605","313,574","1,271,514,648",Commercial
2011,"619,756,303","281,120","1,125,561,818",Commercial
2010,"607,185,112","275,417","1,036,025,676",Commercial
2009,"662,612,646","300,559","823,577,367",Commercial
2008,"623,448,108","282,794","865,505,602",Commercial
2007,"593,733,398","269,316","916,424,049",Commercial
2006,"748,782,901","339,646","1,132,896,386",Commercial
2005,"701,379,950","318,144","977,935,353",Commercial
2004,"731,962,598","332,016","833,589,639",Commercial
2003,"660,518,315","299,609","690,815,001",Commercial
2002,"589,024,867","267,180","696,501,697",Commercial
2001,"631,497,979","286,446","638,077,757",Commercial
2000,"576,194,048","261,360","688,501,385",Commercial
1999,"584,063,783","264,930","662,196,670",Commercial
1998,"603,560,218","273,773","540,453,707",Commercial
1997,"649,088,765","294,425","573,467,862",Commercial
1996,"650,434,568","295,035","570,835,473",Commercial
1995,"601,240,807","272,721","564,910,085",Commercial
1994,"553,657,525","251,137","551,816,834",Commercial
1993,"640,067,881","290,333","561,322,137",Commercial
1992,"655,650,423","297,401","613,894,603",Commercial
1991,"671,811,559","304,732","600,160,330",Commercial
1990,"668,427,208","303,197","557,736,020",Commercial
1989,"576,004,325","261,274","523,125,914",Commercial
1988,"571,319,030","259,149","499,953,611",Commercial
1987,"551,470,252","250,145","522,200,339",Commercial
1986,"553,975,753","251,282","448,052,138",Commercial
1985,"600,678,341","272,466","423,753,760",Commercial
1984,"717,930,679","325,651","450,513,533",Commercial
1983,"707,896,775","321,100","429,376,442",Commercial
1982,"711,792,400","322,867","396,617,483",Commercial
1981,"721,756,800","327,387","377,108,318",Commercial
1980,"794,219,100","360,255","344,452,351",Commercial
1979,"708,289,400","321,278","302,089,533",Commercial
1978,"663,316,100","300,878","262,121,925",Commercial
1977,"585,965,000","265,792","207,221,950",Commercial
1976,"547,480,100","248,335","174,138,203",Commercial
1975,"498,363,300","226,056","154,131,958",Commercial
1974,"522,491,700","237,001","124,334,408",Commercial
1973,"518,146,500","235,030","117,183,927",Commercial
1972,"489,254,400","221,924","106,638,658",Commercial
1971,"513,523,700","232,933","94,644,224",Commercial
1970,"531,271,500","240,983","91,031,805",Commercial
1969,"568,257,700","257,760","80,577,001",Commercial
1968,"634,749,000","287,920","75,656,127",Commercial
1967,"625,340,000","283,652","70,256,504",Commercial
1966,"684,374,800","310,430","78,247,363",Commercial
1965,"702,181,676","318,508","74,837,045",Commercial
1964,"681,856,290","309,288","67,595,000",Commercial
1963,"828,889,000","375,982","68,289,224",Commercial
1962,"871,681,800","395,392","65,774,625",Commercial
1961,"760,292,300","344,866","60,860,267",Commercial
1960,"851,965,100","386,449","61,475,975",Commercial
1959,"933,206,400","423,300","66,236,498",Commercial
1958,"997,747,600","452,575","65,480,052",Commercial
1957,"1,030,884,100","467,606","60,809,755",Commercial
1956,"1,015,245,500","460,512","59,272,509",Commercial
1955,"955,418,100","433,375","57,242,953",Commercial
1954,"966,440,800","438,375","57,601,534",Commercial
1953,"864,005,000","391,910","60,111,970",Commercial
1952,"954,562,500","432,987","67,295,992",Commercial
1951,"916,807,600","415,861","67,431,668",Commercial
1950,"1,006,589,500","456,586","60,576,490",Commercial
